id,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,row_id
9033441,369390000,2023-05-24T22:01:12Z,29.21585,-94.63841,0,121.4,222,MAERSK TENNESSEE,IMO9314210,KRIJ,71,1,292,33,11.3,71,A,1
9045192,352001406,2023-05-24T22:01:20Z,26.07455,-80.12083,0,4.7,268,ALANYA-M,IMO9158159,3E2155,70,5,186,30,10.6,70,A,1
9035341,367102000,2023-05-24T22:01:22Z,30.34225,-88.5082,0,167,194,GARDEN STATE,IMO9698006,KGSG,80,5,186,32,11.6,89,A,1
9043445,538007204,2023-05-24T22:01:22Z,29.74722,-95.09793,0,338,139,GWEN,IMO9407067,V7LP6,80,5,144,24,9.6,89,A,1
9037725,538007474,2023-05-24T22:01:23Z,27.83003,-96.8126,0,335,130,REAL HAPPINESS,IMO9336036,V7JR9,70,1,224,32,14.1,70,A,1
9040794,367677560,2023-05-24T22:01:36Z,30.3393,-88.50896,0,106.4,14,BAY STATE,IMO9698018,WBYQ,80,5,186,33.07,9.24,80,A,1
9045474,538005167,2023-05-24T22:01:49Z,29.37024,-94.88937,0,103.9,357,NAVE PULSAR,IMO9379313,V7BM3,80,5,183,32,13.3,80,A,1
9039542,305291000,2023-05-24T22:01:50Z,26.09527,-80.12343,0,268,268,K-BREEZE,IMO9389423,V2DP4,70,5,139,22,7.4,70,A,1
9039737,367151450,2023-05-24T22:01:55Z,29.32872,-94.77328,0,212,511,RAY STOKER; JR,IMO9158719,WDJ3395,60,5,80,19,5.05,60,A,1
9042575,564329000,2023-05-24T22:02:17Z,30.01245,-93.96568,0,164.6,76,EAGLE KLANG,IMO9417892,9V8640,80,5,243,42,14.6,80,A,1
9039414,368253470,2023-05-24T22:02:25Z,29.96322,-90.28413,0,334.5,253,HOS RUNNING BUCK,IMO9645633,WDM9526,79,1,92,20,4,79,A,1
9047355,563061100,2023-05-24T22:02:26Z,30.0785,-90.90411,0.1,79.7,341,CHEMICAL ENTERPRISE,IMO9827475,9V5702,82,1,136,22,5.5,82,A,1
9047672,671830000,2023-05-24T22:02:31Z,25.79637,-80.24544,0,360,511,SLINGSHOT,IMO8126549,5VEO6,70,5,63,9,4.5,70,A,1
9049063,212040000,2023-05-24T22:02:37Z,29.54265,-89.76524,0,129.9,334,UBC TILBURY,IMO9416721,5BXL2,70,1,182,28,10.8,77,A,1
9041738,636021073,2023-05-24T22:02:41Z,29.22641,-94.66933,0,356.2,158,PROGRESS,IMO9611577,5LCD4,70,1,177,28,6,70,A,1
9045110,368199000,2023-05-24T22:02:44Z,26.1344,-80.07161,0.2,229.3,320,AMERICAN PRIDE,IMO9763863,KAPD,80,1,21.05,21.05,21.05,80,A,1
9044845,636021192,2023-05-24T22:02:50Z,28.41137,-80.61787,0,148,307,BULK MANARA,IMO9478951,5LCS7,70,5,190,32,11.8,70,A,1
9042189,538009599,2023-05-24T22:02:53Z,29.41308,-93.6226,0,260.9,157,AVANCE POLARIS,IMO9901984,V7A4941,80,1,229,37,7.9,80,A,1
9047523,228075700,2023-05-24T22:02:55Z,27.82094,-97.2066,0,106.1,98,ANNE,IMO9722936,FIYQ,80,5,333,59.2,15.77,89,A,1
9046205,319963000,2023-05-24T22:03:11Z,27.67529,-92.18347,13.9,292.6,294,STOLT ISLAND,IMO9414058,ZCXG7,80,0,182,32,11.9,82,A,1
9050434,371823000,2023-05-24T22:03:31Z,27.50316,-94.38081,12.8,358.9,354,AZALEA GALAXY,IMO9343778,3EEV4,80,0,147,24,9.5,80,A,1
9053360,538007356,2023-05-24T22:03:39Z,29.32005,-94.59715,0,335,259,OWL 2,IMO9439307,V7KV5,80,1,129,20,6,80,A,1
9049056,319106900,2023-05-24T22:03:44Z,29.80855,-90.00723,0,12.7,13,STOLT INTEGRITY,IMO9680097,ZGEY2,80,5,21.05,21.05,21.05,80,A,1
9056914,248680000,2023-05-24T22:04:41Z,29.94128,-90.36814,0,96.3,289,ROJEN,IMO9754927,9HA4756,70,1,185,30,10.8,70,A,1
9100343,538004326,2023-05-24T22:05:56Z,26.24856,-78.52461,13.3,271.8,275,AQUILA,IMO9594573,V7WK9,70,0,189,32,12.8,70,A,1
9067786,205776000,2023-05-24T22:07:27Z,25.95847,-97.37876,0,77.2,249,LA LUNA,IMO9846079,ONKC,70,5,200,32,11.8,70,A,1
9070823,477948700,2023-05-24T22:08:33Z,32.07083,-77.7091,11.7,189.2,191,LUCHOW,IMO9715218,VROY6,70,0,179,31.82,8.93,70,A,1
9082622,367037610,2023-05-24T22:10:27Z,29.86475,-89.92913,0,360,511,FRANK H,NA,WDC5212,60,0,15,5,1.9,0,A,10
9100520,636017833,2023-05-24T22:11:41Z,24.3105,-80.44384,10,234.7,234,STOLT LOTUS,IMO9617648,D5MX5,80,0,183,28,10,83,A,1
9092917,367702000,2023-05-24T22:13:29Z,27.86831,-97.04983,9.8,25.9,511,MUSTANG,NA,WDD6245,69,5,19,6,0,69,A,8
9106078,255805583,2023-05-24T22:14:01Z,25.51554,-79.56408,8.4,185.8,187,CHEM SEA 1,IMO9731729,CQTD,80,0,160,25,6.8,80,A,13
9098106,538009441,2023-05-24T22:14:10Z,24.61836,-79.84449,11.6,231.8,229,CELSIUS PORTSMOUTH,IMO9884837,V7A4748,80,0,183,32,8.6,80,A,13
9128874,215583000,2023-05-24T22:17:58Z,26.4387,-79.39853,10,184.5,185,COBIA LNG,IMO9869306,9HA5192,84,0,299,46,9.4,84,A,16
9118636,338601000,2023-05-24T22:18:11Z,29.14623,-90.21104,0,248,332,FAST SERVER,IMO9718246,WDH5198,60,0,54,19,2.3,60,A,13
9126191,367460420,2023-05-24T22:18:18Z,29.54722,-95.04193,0,360,511,BAREFOOT BABE,NA,WDF5190,60,15,13,4,1.74,60,B,1
9183171,477137600,2023-05-24T22:19:30Z,26.25957,-79.31618,12.4,223,220,ORIENTAL JUBILEE,IMO9763813,VRPP5,80,0,225,40,10.97,80,A,16
9140566,538009657,2023-05-24T22:19:41Z,29.53593,-89.75439,15.2,136.4,138,CLIPPER MEDWAY,IMO9587221,V7A5005,70,0,181,30,7.1,70,A,19
9141674,367037610,2023-05-24T22:20:47Z,29.86473,-89.92913,0,360,511,FRANK H,NA,WDC5212,60,0,15,5,1.9,0,A,19
9446564,366914760,2023-05-24T22:20:50Z,29.77986,-92.18653,1.7,5.4,511,CANDY DANCER,IMO8993045,WDB5897,60,0,39,7,2.72,60,A,18
9146545,367543570,2023-05-24T22:21:13Z,29.68523,-91.29706,0,62.8,511,FOURCHON RUNNER,IMO8973538,WDG5125,60,8,31,7,2.52,60,A,1
9155115,372172000,2023-05-24T22:22:43Z,28.56545,-93.41927,12.8,306,307,GRAND ACE5,IMO9375317,3EIG9,80,0,183,32,12.2,80,A,19
9214612,563136900,2023-05-24T22:25:08Z,29.22121,-94.45357,5.5,328.2,321,CLEAROCEAN HICKORY,IMO9916616,9V7209,80,0,183,32,8.3,80,A,22
9164761,244810614,2023-05-24T22:25:28Z,29.40411,-85.77916,13,181.5,179,INDUSTRIAL MERCHANT,IMO9534470,PCYD,70,0,116,17,7.8,70,A,23
9157073,563020500,2023-05-24T22:25:34Z,28.74755,-89.50933,14,220.6,215,MERCURY SKY,IMO9796949,9V5148,70,0,21.05,21.05,21.05,70,A,24
9161750,636017828,2023-05-24T22:26:08Z,28.91654,-94.41212,11.4,359.5,2,STOLT KIRI,IMO9266231,D5MW8,80,0,145,24,9.6,82,A,23
9156573,538003366,2023-05-24T22:26:55Z,25.78602,-79.43869,11.1,190.4,192,ALGOMA VALUE,IMO7926148,V7QH6,70,0,244,32,12.8,70,A,23
9164187,538009441,2023-05-24T22:26:59Z,24.59283,-79.87942,11.3,230.2,230,CELSIUS PORTSMOUTH,IMO9884837,V7A4748,80,0,183,32,8.6,80,A,24
9178900,563142600,2023-05-24T22:27:10Z,28.95484,-94.0547,12.7,304.3,307,GRAMPUS ACE,IMO9584190,9V7576,70,0,180,28,8.7,70,A,23
9164991,538009198,2023-05-24T22:27:12Z,28.61041,-94.18103,1.2,170.3,141,PACIFIC RUBY,IMO9893034,V7A4440,80,0,250,44,8.7,80,A,23
9522115,367666910,2023-05-24T22:27:27Z,29.14354,-90.20478,0,77.9,252,CAJUN IV,IMO9732761,WDH9327,60,0,64,9,2,60,A,21
9183630,367647000,2023-05-24T22:27:58Z,27.9623,-93.64521,0.1,137,329,CAPT. ELLIOT MCCALL,IMO9744453,WDM5094,61,0,64,11,2,60,A,20
9226332,636017514,2023-05-24T22:28:04Z,31.84239,-80.04943,1.9,250.5,155,MSC CORNELIA,IMO9426817,A8VA3,74,0,294,32,10.7,74,A,25
9182732,255805583,2023-05-24T22:28:20Z,25.48175,-79.56814,8.6,186.3,187,CHEM SEA 1,IMO9731729,CQTD,80,0,160,25,6.8,80,A,25
9176614,248392000,2023-05-24T22:28:31Z,27.13637,-79.45114,12.3,0.5,3,MSC SEASIDE,IMO9745366,9HA4638,60,0,323,44,8.5,69,A,25
9179875,367518920,2023-05-24T22:28:48Z,29.73984,-93.87566,10,321.5,320,AMERICAN PHOENIX,IMO9564578,WDG2754,80,0,188,32,11,80,A,26
9188965,367702000,2023-05-24T22:29:48Z,27.87541,-97.04835,1.7,163.9,511,MUSTANG,NA,WDD6245,69,5,19,6,0,69,A,15
